location,lat,lon,one,two,three
legend,57.75,0,0.33,0.33,0.33
F,50.9661,1.8433,0.4,0,0.6
D,51.4068,3.5121,0.2,0,0.8
I,51.9095,2.7232,0.167,0,0.833
M,51.9348,1.2813,0,0,1
H,51.99,3.5031,0.35,0,0.65
X,52.0987,4.2582,0.065,0.11,0.825
E,52.6007,3.517,0.15,0,0.85
V,53.0118,4.7083,0,0,1
S,53.3295,4.8302,0.267,0,0.733
P,53.3626,3.2539,0,0,1
Z,53.4521,6.3042,0.23,0,0.77
Q,53.5202,3.9925,0.063,0,0.937
A,53.8833,3.4983,0.238,0,0.762
N,54.176,7.8945,0,0,1
L,54.2241,5.4986,0.056,0,0.944
G,54.3247,2.9346,0.064,0,0.936
J,54.852,4.6949,0,0,1
Y,55.0216,8.4403,0,0,1
C,55.1258,-1.4983,0.1,0,0.9
K,55.195,7.1583,0,0,1
O,55.4789,7.811,0.033,0,0.967
T,56.783,8.911,0,0,1
